,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
10,dierregi,Lady detective talks to mummy when going gets tough,1/10,8 March 2019,"A motley gang of criminals spend five months under the supervision of the hyper-annoying Professor, to learn how to pull off the heist of the millennium. If the premise sounds stupid, it's because it is. The Professor must possess infinite time and resources to select his gang, prepare the plan, organise the ""lessons"", rent a house in a secluded location, feed himself and the gang for months, etc...But even if you buy it - for entertainment sake - all the ""careful preparation"" turns out as a mighty waste of time, because boys and girls on both sides of the law are too busy with their hormonal tempests.All the four main female characters are engaged in illicit affairs and/or showing off plenty of flesh and lots of time is spent gazing at their buttocks. Discussing and carrying out intricate sexual cavortings soon derails the plot. Pregnancies are debated endlessly.Within 24 hours from creating a hostage situation involving over 60 people, the criminals are privy to the affair of a married guy with his secretary and talk endlessly about that, like gossiping schoolgirls.The stupidity of the dialogues is impressive.... Raquel, the lady detective in charge of negotiations, after having created a minor mess with the hostages, phones HER MUM, because she is terribly distressed, but they end up talking about a stranger Raquel is infatuated with.I am not sure if the Raquel's role was a homage to female strength, but she actually succeed in being a massive stereotype of female irrationality and weakness. Could you imagine a male counterpart talking to mum about how hard his job is?Finally, the whole plot is TOTALLY derivative: Tokyo is a bad copy of Mia, from Pulp Fiction; the criminals choosing fake names is copied from ""Reservoir Dogs""; the hostages being forced to wear overalls, from ""Inside man""... etc..PS from the enthusiastic reviews of the audience, one would think the vast majority never watched a heist movie/series before...",Money_heist
11,s3276169,Slickly sexy Spanish steal....,5/10,3 May 2018,"Slickly sexy Spanish crime drama La Casa de papel is by far and a way an absolute show stealer. I can not think of anything i have seen that comes close to this series. Its so polished its downright blinding.The first season cleverly blends a highly original and detailed tale of theft on a grand scale with sophisticated, deeply personal, character development, colourful narrative, lots of guns and sex. interestingly too for all the action to be found in this series, which include a couple of pretty decent gun fights, there is not a lot of true violence. Indeed, given the setting of this series, the body count is pretty low. Not an easy thing to do but to be honest this series feels ""lighter"" and more enjoyable for it. A refreshing departure from the blood soaked crime drama's coming out of the US in particular. I devoured the first season almost in one sitting and was left wanting much much, more. The Spanish have managed to set a new benchmark for crime drama everyone else should aspire to. 10/10 from me.",Money_heist
12,s3276169,Why season 3?,5/10,5 April 2020,"I gave season one and two of this show a much deserved 10/10 but I'm at a loss to understand why they made season 3?Season 3 is the antithesis of the former seasons. It ruins the mostly light hearted vibe that had been established, replacing it with something much darker. Worse still, its simply, in many respects, a blatant re-hash of what went before.Like Star Wars, this feels like making something for the sake of making it. I'm happy to have had the first two seasons and will be leaving it there.5/10 for season 3.
                
                    70 out of 91 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
13,Luigi Di Pilla,One of the best TV-series I have ever seen,10/10,21 May 2018,"My son recommended me to see this thriller series on Netflix. Each series is written very carefully with lot of intelligent details. I mean from the human and criminal side. The elements used in this story are put very clever together in a way you want never stop watching it. It offers lot of suspense, spectacle, high emotions and another dimension to understand the criminals who want sometimes justice for their undesperated situation. Finally you enjoy the great performance from all the actors. Congratulations to all and thank you for this unforgettable present. 
If you want to spend other entertaining moments don't miss the other legendary series Breaking Bad or Narcos.
My rating 10/10.
                
                    31 out of 64 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
14,zhyarTheChosen,With every season it gets even better,9/10,14 April 2020,"I had never ever watch a show that with every season it getting better I really can't wait what is going to happen next
                
                    11 out of 33 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
15,Abdulxoxo,Not what it used to be,7/10,27 September 2020,"Oh my oh my, Money heist isn't totally what it used to be, S1 & S2 are great, even tho they have their faults they are masterpiece compare to S3 & s4. I agree with some people saying that it should end at S2.first, Season 3 felt like a complete replica of S1 with just one difference: gold for money
it's very greedy of the professor and his mediocre team to think about another heist when they have a lot of money, in fact, millions. so why would they want more? when will the professor realize that his heist Is complete failure? maybe after all his team are dead, 'cause so far four had died. so when will it be enough professor? till your entire team is dead?
s4 is a complete disaster, in fact it is a filler season. we will just wait for the continuation of s3 when s5 comes. Nothing happened s4 that made the actual heist plot move forward. Tokyo is a surgeon, Gandia is the T2 Terminator, Rio is a cry baby that needs to be consulted every five minutes or so, there's just too many unnecessary drama in s4. why not just killed of Nairobi after being shot, but no, they decided to recovered her then killed her off three or so episodes later, what for?ohh the flashbacks are totally out of place and have outstay their welcome, Berlin is dead just let him stay like that. some are even theorising that he might still be alive because of the flashbacks. As much as I like Nairobi, I hope they will let her dead, no flashbacks of her like Berlin. when they do that, it just makes their deaths less impactful.I really wish they had completed the 'gold heist' in S4 like they did with the 'money heist' in S2, so two seasons for each heist would have made more sense. here's hoping s5 will be better.",Money_heist
16,saadgkhan,Raquel has to be the WORST COP EVER!!!,4/10,11 January 2021,"Money Heist - Flawed but Worthy (C+)Just here to say Raquel has to be the WORST COP EVER. Within 80 hours of heist, she is galvanising with the stranger who has same similarities like the professor. Within hours knowing him, while dealing with the biggest robbery and kidnapping in the world she is bringing him to top secret places, family and then complains about why she can't find professor. Dumbest Cop EVERRR!!!The show is definitely overhyped maybe due to quick money, sexual innuendoes and robbers being portrayed as hot shots. Show has portrayed police as imbecile, emotional and fools. There is not a good cop character for viewers to root for even though they're trying to do their jobs innocent getting raped, killed and all for money.The show has it's moment but it's Fast and Furious of TV, nonsensical and stupidity is truly unrealistic. I stopped watching after season 3 episode 1, another heist geez who has the time for that and the smartest tech guy in the group gets caught due to tech thingy. It can't go dumber than this. I'm over and out!!!",Money_heist
17,MR_Heraclius,Great,10/10,2 April 2020,"I'm not really big on series, but once I started watching Money Heist I couldn't stop watching. The plot is captivating, intense, emotional, it involves all your senses and it's highly unpredictable. It's a thoroughly thought out series.
The characters are so amazing, they played their parts so well that at each point you feel so immersed like you're there with them. The professor is a genius. Berlin is a very fantastic guy, focused and principled, one of my best characters only second to the professor. Nairobi, oh my Nairobi. I can equally liken her to Berlin because she's focused on the job.If you've not watched Money Heist, I don't know what to say to you honestly.One of the best series I've seen.
                
                    19 out of 43 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
18,kamalbeeee,Quite intersting...,8/10,18 March 2020,"It is bank robbery web series..really i was curious that how can make a web series for a bank robbery but as i was expected it is a linear screenplay eventhough it made me surprise first episode itself they went into bank for robbery...
                
                    4 out of 10 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
19,AvionPrince16,Wonderful TV Show,8/10,23 August 2021,"Casa de Papel is a very good TV show overall. I really enjoyed it. The plan of el profesor, the narration by Tokyo, the relationship between characters. The two first seasons was very great. The third season, at the beginning, i felt that become more a fan base but when you watched it all the season it still have some great moments: mysteries, suspense, dramatic, funny, psychological moments. I recommend this Tv show. It was a very good experience overall. The season 4 have still some great moments and the end want to see the season 5 for sure.
                
                    13 out of 25 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
20,AvionPrince16,Its the end,8/10,4 December 2021,"Now the final season is finished, i can talk about la casa del papel. Its a great TV Shows with some great moments: dramatic, funny, tense moments, action scenes, fantastic effects and with some lovely characters because we care for them. Im very satisfied with this TV show with the end too which i found the end very believable and i loved the way that they tried to let us think about something different at the end until the end that we understand what happened. I enjoyed all the seasons really. Maybe the third season in the beginning the TV show look very fan based. But i think in the middle part of the third seasons we can see some stuff very interesting. The season 5 was very good but i found that they developped so much some characters and the end of some relationship dont have an equal ending as a developpment. So i found some elements pretty rushed in the end but was not completely disappointed but i hoped more for example sierra and el professor but thats ok i mean. And the end what we can regret a little thats the end feel too much as an happy ending. But i can only recommend people to watch the seasons i fohnd a pretty great tv show that i wanted to watch over and over. Even if sometimes the tv show have too much spectacular scenes sometimes and it can make the audience more passive in some action scenes. But really a great TV show.",Money_heist
21,MadamWarden,ABSORBING PAPER - SERIES 1&2,1/10,23 August 2019,"I am almost through the 3rd series and can honestly say there had not been a moment where I haven't been immensely entertained and enthralled.Fantastic characters set in really smart plots and great cinematography. Slick made for TV series that would do well on the big screen except that I wouldn't want to cut a minute!Watch in the original soundtrack you avoid it sounding corny!!!Just love it!!!
                
                    23 out of 45 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
22,MadamWarden,PARTS 3/4 AS BAD AS PARTS 1/2 WERE GOOD,1/10,14 April 2020,"The first series was intelligent, fun and full of surprises. The second series was as if a bunch of students were given a project to redo the entire series, got drunk or high, and produced this swill.So much talking and terrible acting trying to evoke emotions but given the absolutely ridiculous plot and even worse dialogue. Fail!!!Just awful!!
                
                    57 out of 85 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
23,katyayan-12892,Masterpiece,9/10,25 February 2020,"Am not here for review
But to share my favt characters
Professor is my favt character
Berlin Second Favt
Nd I hate yes i hate Tokyo
She is ignorant, Annoying, Selfish Girl
                
                    7 out of 24 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
24,pietclausen,Intriguing and very different,8/10,16 September 2021,"This Spanish production with English audio is very satisfying to watch. In fact it is so different from American productions, it stands in a class of its own. 'The House of Paper' in Spanish, but also meaning 'The House of Money' contains much more than a heist and it takes a couple of episodes to become really engrossed in this saga. Many people may consider binge watching this series, but it will take many days to do so.Many episodes start off with a past incident, which looks unrelated, before the show carries on with the cliffhanger from the previous episode. This interruption is annoying! Season 1 and 2 are excellent. Season 3, a year or so later, is slower in setting the final scene for season 4 and 5, completing Volume 1. Bella Ciao - Goodbye Beautiful. Fortunately volume 2 is on the cards to commence in December 2021.The last 5 episodes (volume 2) did not deliver the miracle many viewers had hoped for. Nevertheless the series comes to a satisfactory conclusion with a number of twists, although some will consider the ending as an anticlimax. This comes about as the result of writing the last episodes impromptu and filming it at the same time. Everyone chipped in and made the end happen through collaboration. It had not been planned in advance, so any goofs or bad decisions, could not be corrected. Had the miracle happened, the series would have ended on a high note!",Money_heist
25,bshaef,A Clunker with a Capital C,4/10,20 June 2019,"Improbable story, head police lady wore blouse showing half her assets, makes love to bad guy not knowing he was bad guy, voice over woman was reading from printed page at all times and in general the whole darn show just stunk but I watched it anyway. I learned a good lesson for future Netflix series/movies. It I think they stink, quite watching. Thanks for education, NetFlix. I love you anyway.",Money_heist
26,cgvsluis,I'd like to say I loved this heist show tremendously but it went on just a tad too long.,8/10,8 December 2021,"There are so many things to like in this Spanish heist series that I would like to say I loved it and give it a ten star rating...but I think it went on a tad too long. It started to have a predictable rhythm, our hero thieves would have a great victory and it would immediately be followed by a huge set back that would look like game-over for our crew....but wait our brains the professor anticipated this too and has a plan! The first time...maybe even the second time it was great drama, but then they either needed to end it or change it up.Otherwise, I felt like this was a fresh and clever heist series that I enjoyed watching in it's native Spanish (thank you, Netflix for allowing us to do that...not all Americans appreciate dubbing!).The overall story is about a group of thieves who in season one rob the royal Spanish mint. Each of our thieves uses the name of a city to keep their anonymity during the heist. The crew is run by a somewhat psychotic and chauvinistic leader on the inside...but the real leader is the brains on the outside known as ""the professor"". The story is told under the narration of my least favorite character, a young woman whose pseudonym is Tokyo. There are several timelines and a couple perspectives...the first timeline is the actual heist in real time as it is going down and the second main timeline is the entire team assembled before the heist in a seemingly abandoned manor in the countryside where they lived together for a time while being schooled by the professor as to the plan. The thieves become National heroes (all part of the plan) as it is discovered that their real plan wasn't to steal from anyone...but to print their own money and take that. There were several new and very clever tricks used to pull off their heist, including using police tactics, social media and mob mentality to cover tracks, stay the police's hands, etc. All of that was throughly enjoyable. I appreciated the cleverness and the well thought out plans...I liked that things didn't always go perfectly, like real life.I am in an argument with myself about the few things I didn't care for...like Tokyo, our completely crazy, unpredictable narrator. She brought a lot of unnecessary chaos into the mix, which I guess was good for storytelling...but I wouldn't agree to do a heist with her, too unreliable. But maybe she is just the kind of crazy person you can talk into robbing a mint? Anyway I am a little conflicted in my feelings around this character.Season one competes the first heist, seasons two and three are about a second heist...this time of The Royal Spanish Reserve, aka The Bank of Spain, in which they steal all of the Spanish Reserve gold.I can't really say anymore without giving delightful surprises away. Trust me if you like a good heist you will love this series and do not be deterred that it is in Spanish it just adds to the enjoyment and the romantic story telling.It also has a pretty great soundtrack and camaraderie feel.""Bella, Ciao.... Bella, Ciao, Bella, Ciao Ciao Ciao!""",Money_heist
27,joachimokeefe,Really bad soap opera. Worse than a school production. Not even laughable.,1/10,3 April 2020,"You know how it is on a foreign trip. You turn on the hotel TV and if you're not fluent in the language, you zone out and half-follow the picture. And then you have your typical soap opera actors - some of them can't act, but are photogenic, some of them can sort of act and aren't photogenic, and some of them are required only to pretend to be in a coma. Most of them overact (or over non-act), because the scarcity of acting work means they've never come up against a decent director who would have told them to tone it down a bit. Even the guy in a coma.Wardrobe? Red overalls, mainly. The hairdresser tried really hard, though.Then there's the script. Obviously, your series creator has got a thing about planting false clues for the forensic team, because the fact that the man with fake irritable bowel syndrome has done this in advance is the main source of suspense - you're supposed to be waiting for the CSI team to catch on. No doubt they will, when they get over their break-up issues.Then the man who doesn't have Stockholm syndrome - a syndrome from Stockholm, they explain - tries to explain to the woman who does have Stockholm syndrome (from Stockholm) that it's just not going to work out between them. Even if they go to Sweden.And then - and then - the Professor hasn't answered the phone for 24 hours. Gripping? So is duct tape. Except duct tape doesn't go on as long.Whoever wrote this junk tries to cover themselves by randomly throwing in a car crash, or a Hispanic standoff, or a completely unconvincing love scene every ten minutes, so that people who can't get off the sofa in less than ten minutes have an excuse to stop trying.I like trash TV as much as the next hombre but this is weak, derivative and not even fun. Anyone tells you it's 'unmissable' should be kept at 50m distance.",Money_heist
28,saru2020,Awaiting 5/final,6/10,16 April 2021,"Series 1: (Meh)
A concept that's made by so many people in so many different flavours, this concept was a bit unique with more engaging sequences, definitely a must-watch for those heist fans with lots of patience to watch a meagre 2 hour content over 10+ hours in a more elaborated way, maybe it takes time for the characters to get established and by end of the series, it feels like all of these characters were very close to us, which means we as audiences have got engaged very well.I personally liked the way professors' characterization who thinks from 360-degree angles, an apt one for the intelligent folks.The only disappointing thing was the climax, which didn't have anything much in-store and it simply ended up like that making us feel like having consumed a half-baked food or maybe I didn't understand what these guys had to convey, but it's just my opinion for that matter.Series 2: (Conclusion 1)
Thankfully, this series gives us the conclusion revealing a lot of interesting things about the characters and how & whether they achieved what went for.Tokyo coming back into the heist tent was the highlight in this entire series and portrayed as one.Inspector getting involved with the gang being one another twist that was less expected.Berlin's death was the very least expected.Overall, it was a good roller coaster ride with lots of twists & turn arounds.Series 3: (Tokyo starts it again)
It does feel good to see everyone coming back for a single person in the team and this one is the bigger heist than the one before.A new pregnant antagonist inspector with lots of attitudes does take this series to a whole new level as she makes up the cat & mouse game even interesting to watch.Good to watch Berlin comeback in the flashbacks in lots of scenes, this one was more like a prequel to the series 1 itself and how they initially started working on the current heist plans and then it was dropped.Also, it felt like this series was way more emotional than the previous one as the characters involved were already in relationships and all of their characterisations was already well established within us, viewers, which makes it even easier for the makers but challenging as well since it'd make feel like watching the same thing again so they've made it much more interesting than the previous one.The 2 new members do add something to this series but not quite significantly.It feels quite boring & sometimes irritating to watch Arthuro scenes, not sure why, but it wasn't fun watching him in this one.Finally, we were made to believe that Nairobi was dead and makes us wait for another series to know the truth.Series 4: (Nairobi is really gone, still didn't conclude)
It was good to see the scenes performed by Gandia where he takes control from inside and it's like a double-edged sword like thing for the team to handle with the professor also being tracked which makes us even more engaged.This series felt a bit slow with more & more slow scenes and much more emotional content than ever, which was its only Con, I believe.It felt a bit shocking to see Nairobi dead and the professor caught and the series ends without it being concluded, making us wait for another one.",Money_heist
29,tchitouniaram,Honestly...,10/10,10 October 2019,"Honestly...Once again extremely annoyed by negative reviews ...Why people feel the need to find logic in the entertainment...Looking for logic?Watch only Documentaries !!!Or sports,or music,don't judge action /thrillers negatively,just because of plot holes or whatever!!!If everything in films would be done according to real life logic.THERE WOULD BE NO ENTERTAINMENT INDUSTRY AND WE ALL DIED FROM BOREDOME WITHOUT MOVIES!!!
There are absolutely no TV series or ant other films,that can possibly follow the real life scenarios!!!Why??? Cause It would be very short and boring films!
Somebody holds up a bank,police arrives,shoots or arrest everybody-THE END!!!
So enjoy the art of cinematography for what it really gives you:some time to forget about miserable everyday life!And Money Heist is definitely one of the best shows in that regard!
                
                    10 out of 25 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
30,tchitouniaram,Superb!!!,10/10,13 April 2020,"Superb!!!Very well made show.Acting is just absolutely amazing!!!
Some plot holes and illogical things do not prevent it to be one of the best tv shows ever made!
                
                    6 out of 14 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
31,DogePelis2015,La casa de papel,10/10,16 December 2021,"Exciting and action packed; is the best Spanish series on Netflix. TOTALLY RECOMMENDED!It is a very epic series and everyone should see it.Netflix should produce more quality content like this.
                
                    1 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
32,Xavier_Stone,"Every little thing is drama, drawn out and expanded",5/10,10 August 2020,"Basically pick any character, with 7-8 leads, and do a 40min background on them. The viewers don't need to know what their 4th grade teacher gave them for homework in science class?
It's annoying how greedy the producers got once they realized that they had a hit show and that it was popular. It does have it's good scenes but the first series is 16 episodes of 45 mins each, when it could have been done in 1/4 of that time.Then they got even more greedy and decided on extending it with a Season 3,4 and 5. Unreal. What's next? Weddings,funerals, charity work and maybe one of the robbers becomes the leader of Spain. Nothing is impossible in this show !
                
                    12 out of 18 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
33,Azanspy,It's good but it's overrated.,7/10,3 April 2020,"Money Heist is a good watchable series. But I don't see why or how this is getting the recognition as one of the best series ever. It's not. To be honest, the series is lagging most of the episodes and picks up pace in the final episodes only. And I didn't like the Season 4 ending much too. It felt just like any other episode. The performances are not great apart from Berlin, Palermo and few others. I hate most of the characters. I'm being so pessimistic because it's getting over optimism from many others. Overall, it's a compelling watchable series.
                
                    9 out of 21 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Money_heist
