,review_title,review_text,class
10,lady detective talks mummy going gets tough,motley gng criminls spend five months supervision hyper nnoying professor lern pull heist millennium premise sounds stupid becuse professor must possess infinite time resources select gng prepre pln orgnise lessons rent house secluded loction feed gng months etc even buy entertinment ske creful preprtion turns mighty wste time becuse boys girls sides busy hormonl tempests four min femle chrcters engged illicit ffirs showing plenty flesh lots time spent gzing buttocks discussing crrying intricte sexul cvortings soon derils plot pregnncies debted endlessly within hours creting hostge sitution involving people criminls privy ffir mrried guy secretry tlk endlessly bout tht like gossiping schoolgirls stupidity dilogues impressive rquel ldy detective chrge negotitions fter hving creted minor mess hostges phones mum becuse terribly distressed end tlking bout strnger rquel inftuted not sure rquel role homge femle strength ctully succeed mssive stereotype femle irrtionlity wekness could imgine mle counterprt tlking mum bout hrd job finlly whole plot totally derivtive tokyo copy pulp fiction criminls choosing fke nmes copied reservoir dogs hostges forced wer overlls inside etc enthusistic reviews udience one would think vst mjority never wtched heist movie series,0
11,slickly sexy spanish steal,slickly sexy spnish crime drm ppel bsolute show steler not think nything hve seen tht comes close series polished downright blinding first seson cleverly blends highly originl detiled tle theft grnd scle sophisticted deeply personl chrcter development colourful nrrtive lots guns sex interestingly ction series include couple pretty decent gun fights not lot true violence indeed given setting series body count pretty low not esy thing honest series feels lighter enjoyble refreshing deprture blood soked crime drm coming prticulr devoured first seson lmost one sitting left wnting much much spnish hve mnged set new benchmrk crime drm everyone else spire,1
12,season,gve seson one two show much deserved loss understnd mde seson seson ntithesis former sesons ruins mostly light herted vibe tht estblished replcing something much drker worse still simply mny respects bltnt hsh wht went like str wrs feels like mking something ske mking hppy hve first two sesons leving seson,1
13,one best series ever seen,son recommended see thriller series netflix ech series written crefully lot intelligent detils men humn criminl side elements used story put clever together wnt never stop wtching offers lot suspense spectcle high emotions nother dimension understnd criminls wnt sometimes justice undesperted sitution finlly enjoy gret performnce ctors congrtultions thnk unforgettble present wnt spend entertining moments not miss legendry series breking nrcos rting,2
14,every season gets even better,never ever wtch show tht every seson getting better relly not wit wht going hppen next,2
15,not used,money heist not totlly wht used gret even tho hve fults msterpiece compre gree people sying tht end first seson felt like complete replic one difference gold money greedy professor mediocre tem think bout nother heist hve lot money fct millions would wnt professor relize tht heist complete filure mybe fter tem ded cuse four died enough professor till entire tem ded complete disster fct filler seson wit continution comes nothing hppened tht mde ctul heist plot move forwrd tokyo surgeon gndi termintor rio cry bby tht needs consulted every five minutes mny unnecessry drm not killed nirobi fter shot decided recovered killed three episodes lter wht ohh flshbcks totlly plce hve outsty welcome berlin ded let sty like tht even theorising tht might still live becuse flshbcks much like nirobi hope let ded flshbcks like berlin tht mkes deths less impctful relly wish completed gold heist like amoney heist two sesons ech heist would hve mde sense hoping better,1
16,raquel worst cop ever,money heist flwed worthy rquel worst cop ever within hours heist glvnising strnger sme similrities like professor within hours knowing deling biggest robbery kidnpping world bringing top secret plces fmily complins bout not find professor dumbest cop everrr show definitely overhyped mybe due quick money sexul innuendoes robbers portryed hot shots show portryed police imbecile emotionl fools not good cop chrcter viewers root even though trying jobs innocent getting rped killed money show moment fst furious nonsensicl stupidity truly unrelistic stopped wtching fter seson episode nother heist geez time tht smrtest tech guy group gets cught due tech thingy not dumber thn,1
17,great,not relly big series strted wtching money heist could not stop wtching plot cptivting intense emotionl involves senses highly unpredictble thoroughly thought series chrcters mzing plyed prts well tht ech point feel immersed like professor genius berlin fntstic guy focused principled one best chrcters second professor nirobi nirobi eqully liken berlin becuse focused job not wtched money heist not know wht honestly one best series seen,2
18,quite intersting,bnk robbery web series relly curious tht mke web series bnk robbery expected liner screenply eventhough mde surprise first episode went bnk robbery,2
19,wonderful show,ppel good show overll relly enjoyed pln profesor nrrtion tokyo reltionship chrcters two first sesons gret third seson beginning felt tht become bse wtched seson still hve gret moments mysteries suspense drmtic funny psychologicl moments recommend show good experience overll seson hve still gret moments end wnt see seson sure,2
20,end,finl seson finished tlk bout del ppel gret shows gret moments drmtic funny tense moments ction scenes fntstic effects lovely chrcters becuse cre stisfied show end end believble loved tht tried let think bout something different end end tht understnd wht hppened enjoyed sesons relly mybe third seson beginning show look bsed think middle prt third sesons see stuff interesting seson good tht developped much chrcters end reltionship dont hve equl ending developpment elements pretty rushed end not completely disppointed hoped exmple sierr professor thts men end wht regret little thts end feel much hppy ending recommend people wtch sesons fohnd pretty gret show tht wnted wtch even sometimes show hve much spectculr scenes sometimes mke udience pssive ction scenes relly gret show,2
21,absorbing paper series,lmost rd series honestly not moment hve not immensely entertined enthrlled fntstic chrcters set relly smrt plots gret cinemtogrphy slick mde series tht would well big screen except tht would not wnt cut minute wtch originl soundtrck void sounding corny love,0
22,parts bad parts good,first series intelligent fun full surprises second series bunch students given project redo entire series got drunk high produced swill much tlking terrible cting trying evoke emotions given bsolutely ridiculous plot even worse dilogue fil wful,0
23,masterpiece,not shre fvt chrcters professor fvt chrcter berlin second fvt hte yes hte tokyo ignornt annoying selfish girl,2
24,intriguing different,spnish production english udio stisfying wtch fct different americn productions stnds clss house pper spnish lso mening house money contins much thn heist tkes couple episodes become relly engrossed mny people consider binge wtching series tke mny dys mny episodes strt pst incident looks unrelted show crries cliffhnger previous episode interruption nnoying seson excellent seson yer lter slower setting finl scene seson completing volume bell cio goodbye beutiful fortuntely volume crds commence december lst episodes volume not deliver mircle mny viewers hoped nevertheless series comes stisfctory conclusion number twists lthough consider ending nticlimx comes bout result writing lst episodes impromptu filming sme time everyone chipped mde end hppen collbortion not plnned dvnce goofs decisions could not corrected mircle hppened series would hve ended high note,2
25,clunker capital,improbble story hed police ldy wore blouse showing hlf ssets mkes love guy not knowing guy voice womn reding printed pge times generl whole drn show stunk wtched nywy lerned good lesson future netflix series movies think stink quite wtching thnks eduction netflix love nywy,1
26,would like say loved heist show tremendously went tad long,mny things like spnish heist series tht would like loved give ten str rting think went long strted hve predictble rhythm hero thieves would hve gret victory would immeditely followed huge set bck tht would look like gme crew wit brins professor nticipted pln first time mybe even second time gret drm either needed end chnge otherwise felt like fresh clever heist series tht enjoyed wtching ntive spnish thnk netflix llowing tht not americns pprecite dubbing overll story bout group thieves seson one rob royl spnish mint ech thieves uses nme city keep nonymity heist crew run somewht psychotic chuvinistic leder inside rel leder brins outside known professor story told nrrtion lest fvorite chrcter young womn whose pseudonym tokyo severl timelines couple perspectives first timeline ctul heist rel time going second min timeline entire tem ssembled heist seemingly bndoned mnor countryside lived together time schooled professor pln thieves become ntionl heroes prt pln discovered tht rel pln not stel nyone print money tke tht severl new clever tricks used pull heist including using police tctics socil medi mob mentlity cover trcks sty police hnds etc tht throughly enjoyble pprecited cleverness well thought plns liked tht things not lwys perfectly like rel life rgument bout things not cre like tokyo completely crzy unpredictble nrrtor brought lot unnecessry chos mix guess good storytelling would not gree heist unrelible mybe kind crzy person tlk robbing mint anywy little conflicted feelings round chrcter seson one competes first heist sesons two three bout second heist time royl spnish reserve bnk spin stel spnish reserve gold not relly nymore without giving delightful surprises trust like good heist love series not deterred tht spnish dds enjoyment romntic story telling lso pretty gret soundtrck cmrderie feel bell cio bell cio bell cio cio cio,2
27,really bad soap opera worse school production not even laughable,know foreign trip turn hotel not fluent lnguge zone hlf follow picture hve typicl sop oper ctors not photogenic sort not photogenic required pretend com overct non becuse scrcity cting work mens never come ginst decent director would hve told tone bit even guy com wrdrobe red overlls minly hirdresser tried relly hrd though script obviously series cretor got thing bout plnting flse clues forensic tem becuse fct tht fke irritble bowel syndrome done dvnce min source suspense supposed witing csi tem ctch doubt get brek issues not hve stockholm syndrome syndrome stockholm explin tries explin womn hve stockholm syndrome stockholm tht not going work even sweden professor not nswered phone hours gripping duct tpe except duct tpe not long whoever wrote junk tries cover rndomly throwing crsh hispnic stndoff completely unconvincing love scene every ten minutes tht people not get sof less thn ten minutes hve excuse stop trying like trsh much next hombre wek derivtive not even fun anyone tells unmissble kept distnce,0
28,awaiting final,series meh concept tht mde mny people mny different flvours concept bit unique engging sequences definitely must wtch heist fns lots ptience wtch megre hour content hours elborted mybe tkes time chrcters get estblished end series feels like chrcters close mens udiences hve got engged well personlly liked professors chrcteriztion thinks degree ngles one intelligent folks disppointing thing climx not hve nything much store simply ended like tht mking feel like hving consumed hlf bked food mybe not understnd wht guys convey opinion tht mtter series conclusion thnkfully series gives conclusion reveling lot interesting things bout chrcters whether chieved wht went tokyo coming bck heist tent highlight entire series portryed one inspector getting involved gng one nother twist tht less expected berlin deth lest expected overll good roller coster ride lots twists turn rounds series tokyo strts gin feel good see everyone coming bck single person tem one bigger heist thn one new pregnnt ntgonist inspector lots ttitudes tke series whole new level mkes mouse gme even interesting wtch good wtch berlin comebck flshbcks lots scenes one like prequel series initilly strted working current heist plns dropped also felt like series emotionl thn previous one chrcters involved lredy reltionships chrcteristions lredy well estblished within viewers mkes even esier mkers chllenging well since would mke feel like wtching sme thing gin mde much interesting thn previous one new members something series not quite significntly feels quite boring sometimes irritting wtch arthuro scenes not sure not fun wtching one finlly mde believe tht nirobi ded mkes wit nother series know truth series nirobi relly gone still not conclude good see scenes performed gndi tkes control inside like double edged sword like thing tem hndle professor lso trcked mkes even engged series felt bit slow slow scenes much emotionl content thn ever con believe felt bit shocking see nirobi ded professor cught series ends without concluded mking wit nother one,1
29,honestly,honestly gin extremely nnoyed negtive reviews people feel need find logic entertinment looking logic wtch documentries sports music not judge ction thrillers negtively becuse plot holes whtever everything films would done ccording rel life logic would entertainment industry died boredome without movies bsolutely series films tht possibly follow rel life scenrios cuse would short boring films somebody holds bnk police rrives shoots rrest everybody end enjoy cinemtogrphy wht relly gives time forget bout miserble everydy life money heist definitely one best shows tht regrd,2
30,superb,superb well mde show acting bsolutely mzing plot holes illogicl things not prevent one best shows ever mde,2
31,casa papel,exciting ction pcked best spnish series netflix totally recommended epic series everyone see netflix produce qulity content like,2
32,every little thing drama drawn expanded,bsiclly pick chrcter leds min bckground viewers not need know wht th grde techer gve homework science clss nnoying greedy producers got relized tht hit show tht populr hve good scenes first series episodes mins ech could hve done tht time got even greedy decided extending seson unrel wht next weddings funerls chrity work mybe one robbers becomes leder spin nothing impossible show,1
33,good overrated,money heist good wtchble series not see getting recognition one best series ever not honest series lgging episodes picks pce finl episodes not like seson ending much felt like episode performnces not gret prt berlin plermo others hte chrcters pessimistic becuse getting optimism mny others overll compelling wtchble series,1
34,started pretty good,fourth seson story stretching thin first heist gret mde sense complete story lredy rich world would endnger bck second heist mkes sense know rescue rio come let richer thn god prtying remote prt world former tem leder needs bck rescue member tem not relistic tht would gree liked chrcters first point viewing strting suffer chrcter stupidity syndrome phenomenon show writers continully pint chrcters corners hve rect idiotic unrelistic wys exmple arthur breking second heist past police blockade come even not hlf questionble diversity shoehorned minutes erlier mle chrcters rect stonishment seeing distnt cousin gender trnsformtion comes chep gimmick insted slowly building story tht woven rest storyline despite show flws cting generlly good lthough not know mny times wtch professor djust eyeglsses rquel rect long blnk stre ctress plys nirobi relly intense hope see shows films future,1
35,pretty entertaining,herd bout good money heist since strted bck reson put wtching finlly gve strted wtching recently not stop every bit good everyone sys writing cting excellent mny twists surprises tht keep edge set guessing throughout entire series little wrning strt wtching hrd stop wnt binge quickly possible,2
36,awesome start gets somewhat boring toward season,intilly relly liked series relly glued seson relly liked fst pce series keeps hooked plot twist turn story relly mzing somehow rod story gets monotonous,1
37,money,relly enjoyed series believble likeble chrctersseries two not riveting though fter slow strt wrmed,2
38,ridiculous,first seson gret solid kind spin inside fvorite spike lee movie closely followed mlcolm lredy second seson show metphoriclly jumps shrk chrcter literlly jumps motorcycle things quickly south seson nturl ending course netflix keep beting tht ded horse seson onwrd mke sense whtsoever chrcters experienced bnk robbers mind keep mking dumbest decisions imginble order fill run time professor plnning skills stretch lredy bck first seson seson must hve developed superpowers tertiry chrcters thrown mix without introduction whenever write professor omniscient tht reminds nother deus mchin device nmely compny nother ridiculous show tht went long prison brek cting prt top tokyo poses like runwy denver chewing scenery whenever screen hoped tht would finlly rid certin performer fter seson course tht performer hmming gin plenty dredfully boring flshbcks sesons seem tke lmost much run time heist thing top thn music brin ded writing music blring full speed constntly little tip composer everything emphsized drmtic music end nothing emphsized less reson not give lower score becuse fntstic first serviceble second seson seson deserve higher thn rting,0
39,show turned parody season review,wish rte sesons seprtely imdb first seson gret solid lredy second seson show metphoriclly jumps shrk chrcter literlly jumps motorcycle things quickly south seson nturl ending course netflix keep beting tht ded horse seson onwrd mke sense whtsoever thought seson seson whole level mzing poor writing execution ltter sesons big firefight dngerous militry tem sent wipe moronic robbers shot mteurishly tht ctully mde lugh chrcters experienced bnk robbers keep mking dumbest decisions imginble order fill run time professor plnning skills stretch lredy bck first seson seson must hve developed superpowers zero tension becuse course professor hve thought bsolutely everything tertiry chrcters thrown mix without introduction whenever write cting prt top tokyo good riddnce see wnted poses like runwy denver chewing scenery whenever screen hoped tht would finlly rid berlin fter seson course pedro alonso hmming gin plenty dredfully boring flshbcks tke lmost much run time heist leve netflix tke something gret turn grbge seson strs seson strs seson strs seson strs seson str,0
40,not supposed continue,originl money heist series written plnned one time thing story chrcters perfectly closed end prt two writers hrdly held bck choices killed chrcters story needed could feel tension dnger events developed becuse need keep people clen live future sesons second story tht forcefully brings originl gng together plus couple new dditions cler tht writers trying keep everything suspended long possible people lwys get close rel dnger lmost nothing hppens writers forgot tht chrcters fter criminls not terrorists reincrnted teenger idols philosophic idels ginst dirty corrupted uthorities episodes filled sop oper nonsense especilly big portion prt prt gets slightly better even whole structure dynmics borrowed stright originl seson even hve arturo bck hostge like forced stupid thing could ever come know well enough still let disrupt usul plermo plys new unstble leder gng even yoi side stories multiple chrcters tokyo still holds crown stupid chrcter ever guess tht needs bigger role becuse instgrm followers ide seriously first seson nothing deep nor groundbreking scle tipped towrds entertining end show insted verge teenger netflix drm,1
41,hysterical overacting,rrely disgree imdb rtings generl show not tht good mybe relly poor dubbing ctors seem emotionl one spek sentence without screming bursting ters bit tht oky fter episodes genuinely took dislike min chrcters good ech episode unfolds story gets ridiculous siege history mnkind gone long little plot held together hystericl outbursts chrcters femle police inspector storms every scene not ctully nything times lughed loud lines rections rel life think one workers would hve shot cretes pnic thret thn bnk robbers silly long much cting,1
42,love hearing spanish,first episodes not netflix ctully looked like commercil hilti tools thn money heist becme typicl holywood style thrillers spnish blood full cliches ever repeting pttern every ction gng works every ttempt police fils perfect pln professor prepred every sitution lso cliche conspircy bnkers robbers rich police corrupt torturing sint rio well not one sentenced mny hostges live post trumtic syndrom lter sesons first get edge ridiculous like monic turned member gng clled stockholm heroiclly sves rest gng whole shoot scene mybe edge lredy rchel keeps professor cptivity willing kill suddenly loves thn gets suspended wnts revenge nothing else world finlly rejoin plwn joining gng rob bnk spin denver one scene hting fther digging tunnel furiously sve life unstble chrcters not sure wtch th seson strted grdtion much lredy side hve dmit tht wek plot lughble expressions pssion hrd wht hollywood wht spnish temperment opticlly custiclly show well done men red suit dli msks soundtrck course love spek spnish,1
43,love show hate one thing,hevily enjoy show hve binge wtched every prt love min chrcters throughly engged story line not ction series drm lthough hve moments things biggest complint bout show got excessive mount flshbcks hate sometimes like throughly wnt fst forwrd not time virtully zero ctul storyline mess pcing lot would opt remove entirely see strictly bnk would def recommend show everyone style story dvise not everyone slow burn tke bit get things beginning stick round enjoy ride,2
44,fatally flawed,good unexpected moments lso lots thin plot points written usul millennil style lengthen thing gin gin gin worst spect wtching chrcters hving reltionships often tking dumbest possible decisions would like totlly unrelistic worse like wtching big brother bunch crzy nrcissistic brinless guys ing fighting switching sides time tokyo rio angel extremely unlikeble nirobi denver lmost bdly cted hnd berlin moscow interesting well cted chrcters professor well professor,1
45,starts great stop watching season thank,seson top notch seson kept intense drm going strted dropping close end seson triling plot devices longer mking sense seson becme obvious tht writers writing crziest stuff possible throwing screen seson stopped fter episode becuse levels stupidity not cre bout chrcter ctors becme crtoonish mny people plying top crictures relly relly,0
46,definitely overrated enjoyable,give rounded first need get pst ridiculous plot tht seeks grner sympthy criminls obligtory netflix sub plots nnoying chrcters still well produced even enjoyble despite gping holes story bsolutely unbelievble ction sequences guns pulled pointed ech constntly definitely eye rolling mteril acting bove verge dilogue rings true rel depth emotion chrcters emerge sesons superior,1
47,seasons cked,see reviews users lmost everyone sying tht hve ended seson literlly need unnecessry lme sequels especilly seson perfect climx strs sesons strs seson,2
48,disappointing,first seson ordinry not senstionl mde could not understnd tokio provided voiceover loudest obnoxious sickening chrcter result difficult relte relting incidents clm mnner professor not smooth big let supposed knowledgeble zen like not lso sub plots st seson not mke sense fvourite chrcter berlin even nd seson quite ordinry professor mking lots silly mistkes unbecoming professionl experienced strtegist gin nd seson fvourite berlin lesser extent moscow season disaster not bothering wste time wtching seson,1
49,missing,not get gret reviews boring progrm bout thieves stel bnk wow interesting chrcters nnoying mostly tokyo women not crry wepons crry shopping bgs bbies femle negotitor omg wht mteur tlks professor fce fce like best friends not even know scene find set ibiz scrp yrd right loction right within minutes minutes tht not know wht done loooooll omg utterly dumb,0
50,rarely watched something stupid,seriously tokio ruins whole show wht tht hircut clerly copied pulp fiction lso bossy cnnot stnd also femle police negotitor loooool wht mteur work bkery not police bsolutely clue wht femle chrcters know feminism everywhere plese mindful chrcters plin dumb nirobi exmple excellent,0
51,era defining global phenomenon,heist films right itlin job het hugely successful ocens series one fvorite genres intruiging protgonists elborte schemes nil biting suspense money heist remins series cpture sme ttention retin udiences long sesons devil cre ttitude finely detiled chrcter rcs series become globl phenomenon cpturing culturl zeitgeist digitl professor perhps populr chrcter screen tody fervent support alvro morte fully involved intricte depiction chrcter generted scheming finl seson not rise dropping levels seson leves stisfying climx fvorite outlw gng tht become symbol resistnce ginst tyrnny cross globe seson definitely ups stkes cretor alex pen dding spnish militry ruthless ntgonists ensure professor gng hve bcks wll throughout episodes enrique arce detestble arturo tht loved hte volume volume sees tht mntle tken irrepressible performnce fernndo cyo ruthless tmyo non liner nrrtive drwn flshbck sequences little tedious wtch initil episodes promise tht fine threds get woven msterpiece finl episode volume prt swooning poignnt performnce tlented ursul corbero fvorite tokyo volume excels chrcter building njw nimri nils role alici sierr bdly miss professor loudmouthed pssionte denver stubborn dependble helsinki fiercely loyl lisbon lmost everyone dli gng cnnot wit spinoff series centred round berlin highly highly recommended bell cio ppel missed,2
52,lmao,one big antif circle jerk wtf hilrious subversion expecttions professor resistnce pthetic,0
53,opinion,wow wow wht bout cretivity tht seson strongest beutiful seson series,2
54,long series worth,wtching english dubbed version little hrd get things pick fter episodes second seson much ction rpid pcing leding stisfying finle underlying theme little socilist printing steling money thin compred towht euro reserve bnk mjor scle,2
55,basically season prison break intesnity spanish,might hve seen nme netflix herd people tlking bout not sure stop hesitting strt wtching bomb first minutes plot evolves every episode keeps hungry bsiclly seson prison brek intesnity spnish guys robbing money printing reserve yeh hve complete experience por fvor wtch spanish not dubbed absolutely stunning monitoring spnish shows smth else,1
56,loved seasons,despite visible decline qulity tht demonstrted seson remined optimistic hoping tht seson inject much needed drenline clever twists tht bring show deserved finle let put third seson begn show smll noticeble crcks foundtion fourth seson decided put bomb inside one crcks bring entire think objective seson progress little possible becuse chrcters end exct sme sitution strt every episode consists nonsensicl romnce drm obligtory pointless berlin flshbck police plnning crzy ction resulting dmittedly good cliffhnger mke sure stick round elements pln clever often presented ridiculous fshion tht reduces impct overll flow inconsistent due constnt loss focus ttempt stretch every minute used love show effectively blnced wits drm ction creting trully ddictive experience become sop oper tht shell former self moviesshmovies,1
57,hard stop watching,like swiss cheese mny chrcter foibles plot holes tht one questions wht swllowed swllowed spnish drm eloquently dressed thriller mystery wht gret tht pretty good english udio people tht not tolerte subtitles knck mke wnt get desperte end hodgepodge montge reltionships set ttempt cohesive plot tht ties lovers together relistic disturbing wys liked think visit spin,2
58,dream spanish culture,sex nudity hollywood could not mke nything like becuse hollywood nowdys feeling spice behind cmer not front series mess melodrmtic bsurd crictures tht interct wht could rel world world government control nothing relistic bout except reltionships tht occur ltin sop oper fun bckdrop higher qulity tlent cting superb get slow often bout moments visul qulity music editing could hve lot better tht picked fine wonderful fntsy nowhere ner perfect,2
59,great start season terrible,relly fun like spnish sops entertining silly fctor rel americn,2
60,fact,theres spnish series tht loves especilly interntionl mening bollywood lwys getting positive reviews nything tht people trying support content well proves bdly money heist hve stopped sesons would hve mster clss series incredible showrunner could hve creted something else whole time leve dying see well,1
61,dios estoy boquiabierta que pedazo obra maestra,cri ndome con pelis trntino jmes cmeron spielberg viendo mejores pel culs histori series impresionntes legr que despu hber visto tnto todv joys que sorprendn locur mejor los sentidos serie inteligente impredecible que visto junto con excelente sublime obr que fum cigrrillo debjo del mejor que visto cine series quedo corto,2
62,really wish ended season,series strted well first gve solid netflix cme long decided milk worth like good series tht gotten greedy hnds ruined entire premise series crete heist victims seson turned series ginst cpitlism tht spin spnish government bit distorted exggerted sesons top people never held gun lives suddenly becoming commndos things turned hve feeling tht going turn time,1
63,great show,spoiler seson simply gret gret story gret cting gret chrcters gret pce flws true something one wtch mind switched see dventure look illogicl try nlyse pln one well skip show exmple tunnel build yers towrd federl building complete course relly cres bck enjoy great ride,2
64,great show,hve ended seson two completely gret seson three not needed since mnifesting monotonous story seson four good nirobi demise hve shown dignity,1
65,one best heist series,first two sesons simply mind blowing two not good expected strs becuse ctors good engging story,2
66,good,well ppel like roller coster course first seson epic strted new seson thought like everybody unnecessry story went deep chrcters tody finished x episode sid ishiii noooo omggg nooo shock not expect tht one best episode lst sesons not wnn give spoiler miss chrcters relly till december not know wht,2
